"","county","Category","Sales_Dollars","Sales_Volume","High School","Bachelor","Unemployment","Income","Population","White Population","Black Population","Indian Population","Asain Population","Hawaiian Population","Other Population","Multi Population"
"126","Calhoun","Tequila",12594,704,92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142
"127","Calhoun","Schnapps",13672,1119,92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142
"128","Calhoun","Rum",63282,4524,92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142
"129","Calhoun","Distilled Spirits",655,50,92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142
"130","Calhoun","Amaretto",1837,268,92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142
"131","Carroll","Tequila",78219,4717,92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194
"132","Carroll","Amaretto",10059,1261,92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194
"133","Carroll","Schnapps",84580,6250,92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194
"134","Carroll","Gin",30384,2434,92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194
"135","Carroll","Misc",163327,9255,92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194
"136","Carroll","Whisky",951051,67419,92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194
"137","Carroll","Vodka",379040,33719,92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194
"138","Carroll","Rum",472691,33192,92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194
"139","Carroll","Brandy",29430,2192,92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194
"140","Carroll","Distilled Spirits",28018,3323,92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194
"141","Cass","Whisky",493445,33527,90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119
"142","Cass","Distilled Spirits",7075,332,90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119
"143","Cass","Gin",22606,2026,90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119
"144","Cass","Misc",107457,5889,90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119
"145","Cass","Tequila",56317,3838,90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119
"146","Cass","Schnapps",39139,3132,90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119
"147","Cass","Brandy",16734,1384,90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119
"148","Cass","Vodka",201690,20094,90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119
"149","Cass","Rum",145327,10701,90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119
"150","Cass","Amaretto",2959,298,90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119
"151","Cedar","Misc",33772,2419,93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196
"152","Cedar","Whisky",209160,15568,93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196
"153","Cedar","Rum",66596,4828,93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196
"154","Cedar","Brandy",9379,792,93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196
"155","Cedar","Gin",13519,1400,93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196
"156","Cedar","Vodka",103532,10527,93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196
"157","Cedar","Amaretto",1739,192,93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196
"158","Cedar","Schnapps",26425,2010,93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196
"159","Cedar","Distilled Spirits",2242,142,93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196
"160","Cedar","Tequila",15392,1011,93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196
"161","Cerro Gordo","Misc",488281,31649,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693
"162","Cerro Gordo","Whisky",1904800,131745,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693
"163","Cerro Gordo","Distilled Spirits",22001,1140,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693
"164","Cerro Gordo","Gin",127047,9328,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693
"165","Cerro Gordo","Rum",759626,55669,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693
"166","Cerro Gordo","Brandy",158610,10723,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693
"167","Cerro Gordo","Schnapps",237926,17719,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693
"168","Cerro Gordo","Amaretto",23397,2395,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693
"169","Cerro Gordo","Vodka",1373412,129311,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693
"170","Cerro Gordo","Tequila",387144,26184,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693
"171","Cherokee","Whisky",312013,23201,90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118
"172","Cherokee","Distilled Spirits",7574,800,90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118
"173","Cherokee","Gin",18085,1522,90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118
"174","Cherokee","Tequila",27513,1540,90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118
"175","Cherokee","Misc",60994,4073,90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118
"176","Cherokee","Brandy",20122,1600,90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118
"177","Cherokee","Vodka",119897,12057,90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118
"178","Cherokee","Rum",106449,7368,90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118
"179","Cherokee","Amaretto",1932,244,90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118
"180","Cherokee","Schnapps",37613,2697,90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118
"181","Chickasaw","Whisky",141705,12347,90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38
"182","Chickasaw","Vodka",65453,7753,90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38
"183","Chickasaw","Brandy",12981,1240,90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38
"184","Chickasaw","Gin",2857,296,90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38
"185","Chickasaw","Schnapps",29407,2512,90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38
"186","Chickasaw","Tequila",10289,580,90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38
"187","Chickasaw","Misc",29044,1704,90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38
"188","Chickasaw","Amaretto",1065,136,90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38
"189","Chickasaw","Rum",66965,4660,90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38
"190","Chickasaw","Distilled Spirits",1195,69,90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38
"191","Clarke","Distilled Spirits",4041,188,90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183
"192","Clarke","Gin",11361,1032,90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183
"193","Clarke","Amaretto",2515,232,90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183
"194","Clarke","Misc",44744,2710,90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183
"195","Clarke","Tequila",35429,2364,90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183
"196","Clarke","Vodka",111193,10985,90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183
"197","Clarke","Rum",81336,5767,90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183
"198","Clarke","Whisky",242221,15896,90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183
"199","Clarke","Brandy",11978,839,90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183
"200","Clarke","Schnapps",21248,1827,90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183
"201","Clay","Schnapps",52938,3971,93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375
"202","Clay","Whisky",603838,45611,93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375
"203","Clay","Brandy",35834,2909,93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375
"204","Clay","Amaretto",6765,719,93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375
"205","Clay","Misc",124741,7817,93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375
"206","Clay","Tequila",57827,3823,93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375
"207","Clay","Vodka",306858,31782,93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375
"208","Clay","Rum",214640,16640,93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375
"209","Clay","Gin",36657,2963,93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375
"210","Clay","Distilled Spirits",16864,1687,93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375
"211","Clayton","Rum",107217,7236,91,15.3,4,29261,17735,17377,110,40,80,0,0,128
"212","Clayton","Misc",40901,2572,91,15.3,4,29261,17735,17377,110,40,80,0,0,128
"213","Clayton","Gin",9843,777,91,15.3,4,29261,17735,17377,110,40,80,0,0,128
"214","Clayton","Whisky",235163,16009,91,15.3,4,29261,17735,17377,110,40,80,0,0,128
"215","Clayton","Brandy",11290,1059,91,15.3,4,29261,17735,17377,110,40,80,0,0,128
"216","Clayton","Distilled Spirits",1568,73,91,15.3,4,29261,17735,17377,110,40,80,0,0,128
"217","Clayton","Schnapps",49716,3857,91,15.3,4,29261,17735,17377,110,40,80,0,0,128
"218","Clayton","Vodka",102703,11165,91,15.3,4,29261,17735,17377,110,40,80,0,0,128
"219","Clayton","Tequila",16162,972,91,15.3,4,29261,17735,17377,110,40,80,0,0,128
"220","Clayton","Amaretto",2019,273,91,15.3,4,29261,17735,17377,110,40,80,0,0,128
